criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Importance of Data Mining Marks=(4),8,8,1.0,0.3626373626373627,0.22580645161290325,0.1578947368421053,1.125,1.346291201783626,0.75,0.4958623105488097,0.6800604525048979,0.25,0.5,0.28125,0.3365728004459065,0.0
Definition of Data Mining,8,8,1.0,0.8793103448275862,0.6825396825396826,0.34693877551020413,0.3125,0.46770717334674267,-0.1875,0.8980599244521363,0.7436978013636227,0.5,1.0,0.078125,0.11692679333668567,0.0
Example / Application,13,13,1.0,0.4946578767901796,0.30066322770817977,0.02499999999999991,1.4038461538461537,1.5704604910172537,0.7884615384615384,0.7089490077940541,0.8370178029141373,0.07692307692307693,0.46153846153846156,0.35096153846153844,0.39261512275431343,0.0
KDD Process Steps,8,8,1.0,0.808,0.5384615384615384,0.09433962264150941,0.75,0.8660254037844386,-0.25,0.9060938341128382,0.9144087208387989,0.25,1.0,0.1875,0.21650635094610965,0.0
Understanding of Concept,10,10,1.0,0.24,0.15384615384615385,0.05882352941176472,0.55,0.689202437604511,-0.35,0.29851115706299675,0.29211869733608864,0.2,0.9,0.1375,0.17230060940112776,0.0
Step-by-Step Procedure,10,10,1.0,0.08026755852842804,-0.06060606060606055,-0.1428571428571428,0.7,0.82915619758885,-0.6,0.1594482010358202,0.19084525517264356,0.2,0.9,0.175,0.2072890493972125,0.0
Accuracy of Final Answer,10,10,1.0,0.12182741116751272,0.05405405405405406,0.04761904761904745,0.875,1.039831717154271,0.875,0.46291004988627565,0.4321208107251124,0.2,0.8,0.21875,0.25995792928856776,0.0
Clarity & Presentation,10,10,1.0,-0.15999999999999992,-0.08333333333333326,0.0,0.65,0.85146931829632,-0.45,-0.33333333333333337,-0.3187276291558383,0.3,0.8,0.1625,0.21286732957408,0.0
Supervised Learning,9,9,1.0,-0.06451612903225801,-0.05882352941176472,-0.050000000000000044,0.3333333333333333,0.39086797998528583,-0.2777777777777778,-0.18898223650461365,-0.1889822365046136,0.2222222222222222,1.0,0.1333333333333333,0.1563471919941143,0.0
Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Reinforcement Learning,9,9,1.0,0.5229681978798586,0.2622950819672131,0.05263157894736836,0.4166666666666667,0.5590169943749475,-0.1388888888888889,0.9540646527893837,0.6123724356957946,0.3333333333333333,0.8888888888888888,0.16666666666666663,0.22360679774997894,0.0
"Example, Overall Clarity & Structure",9,9,1.0,-0.1178947368421055,-0.036363636363636376,0.08695652173913038,0.5277777777777778,0.6400954789890507,0.25,-0.2862512870383358,-0.2514706009195581,0.2222222222222222,0.8888888888888888,0.21111111111111114,0.2560381915956203,0.0
Definition of Method Overloading,5,5,1.0,0.0,0.0,0.0,1.6,2.0976176963403033,1.6,,,0.4,0.4,0.4,0.5244044240850758,0.0
Definition of Method Overriding,5,5,1.0,0.0,0.0,0.0,2.5,2.692582403567252,2.5,,,0.0,0.2,0.625,0.673145600891813,0.0
Comparision,5,5,1.0,-0.08163265306122458,-0.031746031746031855,0.04761904761904767,1.3,1.6278820596099706,-0.1,-0.32274861218395123,-0.3952847075210474,0.2,0.6,0.325,0.40697051490249264,0.0
