criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Example / Application,13,13,1.0,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.6153846153846154,1.5689290811054724,0.0,0.6388888888888888,0.6388888888888887,0.8461538461538461,0.8461538461538461,0.15384615384615385,0.3922322702763681,0.0
Definition of Data Mining,8,8,1.0,0.6842105263157895,0.5555555555555556,0.4285714285714286,0.5,0.8660254037844386,-0.5,0.7700535410868201,0.7606388292556648,0.625,0.875,0.125,0.21650635094610965,0.0
KDD Process Steps,8,8,1.0,0.3783783783783784,0.2941176470588235,0.11111111111111116,1.125,1.695582495781317,0.625,0.4320493798938572,0.15563293906372044,0.375,0.75,0.28125,0.42389562394532926,0.0
Importance of Data Mining Marks=(4),8,8,1.0,0.7922077922077921,0.5789473684210527,0.3191489361702128,0.5,0.7071067811865476,0.25,0.8767227853705732,0.8323835009886348,0.5,1.0,0.125,0.1767766952966369,0.0
Understanding of normalization and related problems(3),10,10,1.0,0.15384615384615385,0.11764705882352944,0.07894736842105265,0.6,0.7416198487095663,-0.4,0.26352313834736496,0.26352313834736496,0.3,1.0,0.2,0.2472066162365221,0.0
Explanation of normal forms(3),10,10,1.0,0.41624365482233505,0.1228070175438597,-0.1904761904761907,1.0,1.0723805294763609,-1.0,0.8749186795414556,0.8822772903904459,0.0,0.9,0.3333333333333333,0.35746017649212025,0.0
Use of example(2),10,10,1.0,0.3902439024390244,0.26136363636363635,0.16666666666666652,0.65,0.7905694150420949,-0.45,0.5668202012651357,0.5282705437953743,0.3,1.0,0.325,0.39528470752104744,0.0
Clear and organized writing(2),10,10,1.0,0.07804878048780484,0.05714285714285716,0.0625,0.32999999523162843,0.43474129361104596,-0.12999999523162842,0.0948157614822736,0.04109280606012816,0.4,1.0,0.16499999761581421,0.21737064680552298,0.0
Definition of Quantization,3,3,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Purpose of Quantization,3,3,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Max-Lloyd Algorithm Explanation,3,3,1.0,0.7272727272727273,0.5714285714285714,0.3999999999999999,0.16666666666666666,0.28867513459481287,0.16666666666666666,0.9999999999999999,1.0,0.6666666666666666,1.0,0.0666666666666667,0.11547005383792519,0.0
Boundary & Centroid Conditions,3,3,1.0,0.3389830508474576,0.21052631578947367,0.1428571428571429,0.8333333333333334,1.0408329997330663,-0.16666666666666666,0.5,0.5000000000000001,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.41633319989322654,0.0
Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,2,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,-0.5,,,0.5,1.0,0.16666666666666666,0.23570226039551584,0.0
"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,2,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,1.0,0.0,0.0,0.0
Enables comparison between models and overfitting issues,2,2,1.0,,,,0.5,0.5,-0.5,,,0.0,1.0,0.16666666666666666,0.16666666666666666,0.0
Identification of Layers (2 Marks),9,9,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Explanation of Layers with diagram (4 Marks),9,9,1.0,0.5,0.3571428571428571,0.21052631578947378,0.6666666666666666,0.9428090415820634,-0.6666666666666666,0.6666666666666666,0.6672976811635084,0.4444444444444444,0.8888888888888888,0.16666666666666666,0.23570226039551584,0.0
Technical Accuracy (2 Marks),9,9,1.0,0.4112149532710281,0.3835616438356164,0.3571428571428572,0.5555555555555556,0.8819171036881969,-0.5555555555555556,0.5380275868489702,0.5179323973782373,0.5555555555555556,0.8888888888888888,0.2777777777777778,0.44095855184409843,0.0
Examples/Protocols(1 Mark),9,9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Clarity & Organization (1 Mark),9,9,1.0,0.3076923076923077,0.3076923076923076,0.3076923076923076,0.3333333333333333,0.5773502691896257,0.1111111111111111,0.3162277660168379,0.31622776601683794,0.6666666666666666,1.0,0.3333333333333333,0.5773502691896257,0.0
