criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Example / Application,13,13,1.0,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.6153846153846154,1.5689290811054724,0.0,0.6388888888888888,0.6388888888888887,0.8461538461538461,0.8461538461538461,0.15384615384615385,0.3922322702763681,0.0
Definition of Data Mining,8,8,1.0,0.7,0.5555555555555556,0.4,0.5,0.8660254037844386,-0.25,0.7378647873726218,0.6620374995373379,0.625,0.875,0.125,0.21650635094610965,0.0
KDD Process Steps,8,8,1.0,0.9318181818181819,0.7931034482758621,0.5,0.375,0.6123724356957945,0.125,0.9344767269690312,0.9207368843792509,0.625,1.0,0.09375,0.15309310892394862,0.0
Importance of Data Mining Marks=(4),8,8,1.0,0.539568345323741,0.37254901960784315,0.16666666666666663,1.0,1.4142135623730951,0.5,0.5860627098770302,0.4415956834462115,0.375,0.75,0.25,0.3535533905932738,0.0
Understanding of normalization and related problems(3),10,10,1.0,0.6666666666666667,0.4285714285714286,0.14634146341463428,0.4,0.5,-0.2,0.7099522928088309,0.6928203230275509,0.3,1.0,0.13333333333333336,0.16666666666666669,0.0
Explanation of normal forms(3),10,10,1.0,0.8837209302325582,0.7701149425287357,0.5833333333333334,0.2,0.3872983346207417,-0.2,0.9122627695218835,0.939558475736517,0.7,1.0,0.06666666666666667,0.12909944487358058,0.0
Use of example(2),10,10,1.0,0.6585365853658536,0.5,0.32432432432432434,0.4,0.5916079783099616,-0.2,0.7104771154767192,0.7118144852802065,0.5,1.0,0.2,0.2958039891549808,0.0
Clear and organized writing(2),10,10,1.0,0.5841584158415842,0.47058823529411764,0.3548387096774194,0.1799999952316284,0.2898275299880556,-0.07999999523162842,0.6541035995852102,0.6918984060216639,0.6,1.0,0.0899999976158142,0.1449137649940278,0.0
Definition of Quantization,3,3,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Purpose of Quantization,3,3,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Max-Lloyd Algorithm Explanation,3,3,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.3333333333333333,,,0.6666666666666666,1.0,0.13333333333333333,0.23094010767585033,0.0
Boundary & Centroid Conditions,3,3,1.0,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,0.6666666666666666,,,0.3333333333333333,1.0,0.26666666666666666,0.32659863237109044,0.0
Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,2,1.0,,,,1.0,1.0,-1.0,,,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0
"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,2,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,1.0,0.0,0.0,0.0
Enables comparison between models and overfitting issues,2,2,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Identification of Layers (2 Marks),9,9,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Explanation of Layers with diagram (4 Marks),9,9,1.0,0.6341463414634146,0.4155844155844155,0.1964285714285715,0.5555555555555556,0.7453559924999299,-0.5555555555555556,0.8000946913656626,0.7944613465542746,0.4444444444444444,1.0,0.1388888888888889,0.18633899812498247,0.0
Technical Accuracy (2 Marks),9,9,1.0,0.4545454545454545,0.3571428571428571,0.2499999999999999,0.6666666666666666,0.9428090415820634,-0.4444444444444444,0.5330017908890261,0.5367450401216932,0.4444444444444444,0.8888888888888888,0.3333333333333333,0.4714045207910317,0.0
Examples/Protocols(1 Mark),9,9,1.0,0.3076923076923077,0.3076923076923076,0.3076923076923076,0.3333333333333333,0.5773502691896257,-0.1111111111111111,0.316227766016838,0.31622776601683794,0.6666666666666666,1.0,0.3333333333333333,0.5773502691896257,0.0
Clarity & Organization (1 Mark),9,9,1.0,0.3076923076923077,0.3076923076923076,0.3076923076923076,0.3333333333333333,0.5773502691896257,0.1111111111111111,0.3162277660168379,0.31622776601683794,0.6666666666666666,1.0,0.3333333333333333,0.5773502691896257,0.0
