criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Examples/Protocols(1 Mark),9,9,1.0,0.26229508196721296,0.19047619047619047,0.16000000000000003,0.4722222222222222,0.5590169943749475,-0.4166666666666667,0.7071067811865476,0.7071067811865476,0.2222222222222222,1.0,0.4722222222222222,0.5590169943749475,0.0
Clarity & Organization (1 Mark),9,9,1.0,0.21476510067114096,0.13559322033898302,0.0769230769230771,0.4722222222222222,0.5204164998665332,0.3055555555555556,0.4588314677411235,0.4082482904638631,0.1111111111111111,1.0,0.4722222222222222,0.5204164998665332,0.0
Definition of Quantization,3,3,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Purpose of Quantization,3,3,1.0,,,,0.5,0.5,-0.5,,,0.0,1.0,0.19999999999999996,0.19999999999999996,0.0
Max-Lloyd Algorithm Explanation,3,3,1.0,-0.18604651162790709,-0.10526315789473695,0.0,0.5833333333333334,0.5951190357119042,-0.25,-0.49999999999999994,-0.5000000000000001,0.0,1.0,0.23333333333333336,0.23804761428476168,0.0
Boundary & Centroid Conditions,3,3,1.0,0.0,0.0,0.0,0.8333333333333334,0.9574271077563381,-0.8333333333333334,,,0.0,0.6666666666666666,0.3333333333333333,0.3829708431025352,0.0
Importance of Data Mining Marks=(4),8,8,1.0,0.6103448275862069,0.4899328859060402,0.39622641509433965,0.59375,0.9395810236483068,0.09375,0.6773262229406822,0.8233787118994774,0.5,0.75,0.1484375,0.2348952559120767,0.0
Definition of Data Mining,8,8,1.0,0.75,0.536231884057971,0.2592592592592593,0.5,0.7071067811865476,-0.5,0.8593378488473193,0.8637433829436538,0.375,0.875,0.125,0.1767766952966369,0.0
Example / Application,13,13,1.0,0.5562998405103668,0.35104669887278583,0.052980132450331285,1.1923076923076923,1.4344658614593473,0.34615384615384615,0.6633528752007011,0.6903184695796681,0.15384615384615385,0.5384615384615384,0.2980769230769231,0.3586164653648368,0.0
KDD Process Steps,8,8,1.0,0.7676579925650557,0.5515695067264574,0.19999999999999996,0.78125,0.9882117688026185,-0.59375,0.9234383616132902,0.8987170342729173,0.25,0.625,0.1953125,0.24705294220065463,0.0
Understanding of Concept,10,10,1.0,0.07100591715976334,0.02941176470588236,0.0,0.825,0.9905806378079475,-0.725,0.14157875345490262,0.14231361339296403,0.1,0.8,0.20625,0.24764515945198687,0.0
Step-by-Step Procedure,10,10,1.0,0.19753086419753085,0.16666666666666663,0.14634146341463405,0.6,0.806225774829855,-0.6,0.35634832254989923,0.29814239699997197,0.3,0.8,0.15,0.20155644370746376,0.0
Accuracy of Final Answer,10,10,1.0,0.21052631578947367,0.14634146341463417,0.021739130434782483,0.7,0.8660254037844386,0.3,0.23312620206007847,0.0,0.1,0.9,0.175,0.21650635094610965,0.0
Clarity & Presentation,10,10,1.0,-0.05900948366701786,-0.02777777777777768,0.021739130434782483,0.925,1.1208255885729947,-0.775,-0.12280701754385967,-0.15961435280880898,0.1,0.6,0.23125,0.2802063971432487,0.0
Supervised Learning,9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Reinforcement Learning,9,9,1.0,0.7337278106508875,0.38235294117647045,-0.050000000000000044,0.3888888888888889,0.45643546458763845,-0.2222222222222222,0.9640541410352403,0.7144345083117604,0.2222222222222222,1.0,0.15555555555555556,0.18257418583505533,0.0
"Example, Overall Clarity & Structure",9,9,1.0,0.11378555798687084,0.049689440993788914,0.03076923076923077,0.4722222222222222,0.5590169943749475,0.25,0.47918635750341565,0.4938784559013885,0.2222222222222222,1.0,0.1888888888888889,0.223606797749979,0.0
Definition of Method Overloading,5,5,1.0,-0.024096385542168752,-0.05263157894736836,-0.0869565217391306,1.6,1.8439088914585775,1.2,-0.14744195615489714,0.0,0.0,0.4,0.4,0.4609772228646444,0.0
Definition of Method Overriding,5,5,1.0,-0.022408963585434094,-0.020942408376963373,-0.13636363636363624,1.95,2.1360009363293826,1.85,-0.25,-0.3952847075210474,0.0,0.2,0.4875,0.5340002340823456,0.0
Comparision,5,5,1.0,0.29875518672199175,0.15094339622641506,-0.04166666666666674,1.35,1.4534441853748632,-0.65,0.6663924874789787,0.5735393346764044,0.0,0.4,0.3375,0.3633610463437158,0.0
