model,regime,criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
donut,full,Definition of Method Overriding,5,3,0.6,0.3571428571428571,0.11764705882352933,0.0,1.6666666666666667,1.7320508075688772,1.6666666666666667,1.0,1.0,0.0,0.3333333333333333,0.4166666666666667,0.4330127018922193,0.0
donut,full,Comparision,5,4,0.8,-0.6346153846153846,-0.3076923076923077,0.0,2.125,2.3048861143232218,-0.375,-0.968495996958186,-0.8164965809277261,0.0,0.25,0.53125,0.5762215285808054,0.0
donut,full,Example / Application,13,7,0.5384615384615384,-0.1653272101033294,-0.09045226130653261,0.0,2.2142857142857144,2.275647474581999,0.5,-0.35355339059327384,-0.35355339059327373,0.0,0.0,0.5535714285714286,0.5689118686454997,0.0
donut,full,Definition of Data Mining,8,4,0.5,0.0,0.0,0.0,1.25,1.3228756555322954,-0.25,,,0.0,0.75,0.3125,0.33071891388307384,0.0
donut,full,KDD Process Steps,8,4,0.5,0.32432432432432434,0.18181818181818177,0.0,1.125,1.25,-0.625,0.4714045207910316,0.5443310539518174,0.0,0.75,0.28125,0.3125,0.0
donut,full,Importance of Data Mining Marks=(4),8,3,0.375,0.0,0.0,0.0,1.0,1.2909944487358056,-0.3333333333333333,,,0.3333333333333333,0.6666666666666666,0.25,0.3227486121839514,0.0
donut,full,Understanding of normalization and related problems(3),10,5,0.5,-0.33333333333333326,-0.17647058823529416,0.04761904761904767,0.8,0.8944271909999159,-0.4,-0.7905694150420947,-0.7905694150420948,0.2,1.0,0.2666666666666667,0.29814239699997197,0.0
donut,full,Explanation of normal forms(3),10,2,0.2,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
donut,full,Use of example(2),10,6,0.6,0.0,0.0,0.0,0.4166666666666667,0.8416254115301732,0.4166666666666667,,,0.6666666666666666,0.8333333333333334,0.20833333333333334,0.4208127057650866,0.0
donut,full,Clear and organized writing(2),10,2,0.2,,,,0.5,0.5,0.5,,,0.0,1.0,0.25,0.25,0.0
donut,full,Definition of Quantization,3,3,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
donut,full,Purpose of Quantization,3,3,1.0,,,,0.5,0.5,-0.5,,,0.0,1.0,0.19999999999999996,0.19999999999999996,0.0
donut,full,Max-Lloyd Algorithm Explanation,3,2,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0.0,,,0.0,1.0,0.2,0.2,0.0
donut,full,Boundary & Centroid Conditions,3,3,1.0,0.0,0.0,0.0,0.5,0.5,0.16666666666666666,,,0.0,1.0,0.20000000000000004,0.20000000000000004,0.0
donut,full,Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,1,0.5,,,,0.0,0.0,0.0,,,1.0,1.0,,,0.0
donut,full,"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,1,0.5,,,,2.0,2.0,2.0,,,0.0,0.0,,,0.0
donut,full,Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,1,0.5,,,,1.5,1.5,1.5,,,0.0,0.0,,,0.0
donut,full,Enables comparison between models and overfitting issues,2,1,0.5,,,,1.5,1.5,1.5,,,0.0,0.0,,,0.0
donut,full,Identification of Layers (2 Marks),9,9,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
donut,full,Explanation of Layers with diagram (4 Marks),9,6,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,-0.3333333333333333,,,0.3333333333333333,1.0,0.16666666666666666,0.2041241452319315,0.0
donut,full,Technical Accuracy (2 Marks),9,8,0.8888888888888888,0.0,0.0,0.0,1.0,1.224744871391589,1.0,,,0.25,0.75,0.5,0.6123724356957945,0.0
donut,full,Examples/Protocols(1 Mark),9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.3333333333333333,,,0.6666666666666666,1.0,0.3333333333333333,0.5773502691896257,0.0
donut,full,Clarity & Organization (1 Mark),9,7,0.7777777777777778,0.0,0.0,0.0,0.5714285714285714,0.7559289460184544,0.5714285714285714,,,0.42857142857142855,1.0,0.5714285714285714,0.7559289460184544,0.0
donut,lora,Supervised Learning,9,6,0.6666666666666666,0.07692307692307676,-2.220446049250313e-16,-0.0714285714285714,0.6666666666666666,0.816496580927726,-0.6666666666666666,0.24999999999999994,0.25000000000000006,0.16666666666666666,0.8333333333333334,0.26666666666666666,0.3265986323710904,0.0
donut,lora,Unsupervised Learning,9,6,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
donut,lora,Reinforcement Learning,9,5,0.5555555555555556,-0.4285714285714286,-0.4285714285714286,-0.4285714285714286,0.4,0.4472135954999579,-0.2,-0.6123724356957945,-0.6123724356957945,0.2,1.0,0.15999999999999998,0.17888543819998315,0.0
donut,lora,"Example, Overall Clarity & Structure",9,3,0.3333333333333333,0.3999999999999999,0.18181818181818177,0.0,0.5,0.6454972243679028,0.5,0.9449111825230678,0.8660254037844387,0.3333333333333333,1.0,0.19999999999999998,0.2581988897471611,0.0
donut,lora,Defintion of climate and weather,6,5,0.8333333333333334,0.0,0.0,0.0,0.2,0.4472135954999579,-0.2,,,0.8,1.0,0.1,0.22360679774997896,0.0
donut,lora,Name of the climate variables,6,2,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,1.0,0.5,0.5,0.0
donut,lora,Hemato-biochemical changes in rohu due to an increase of temparature,6,5,0.8333333333333334,-0.1797752808988764,-0.09756097560975618,0.0,0.45,0.51234753829798,0.15,-0.24999999999999994,-0.25,0.0,1.0,0.225,0.25617376914899,0.0
donut,lora,Understanding of Concept,10,3,0.3,,,,2.0,2.0,-2.0,,,0.0,0.0,0.5,0.5,0.0
donut,lora,Step-by-Step Procedure,10,5,0.5,-0.0185185185185186,0.0,0.0,2.0,2.0976176963403033,-2.0,-0.24999999999999997,-0.25,0.0,0.2,0.5,0.5244044240850758,0.0
donut,lora,Accuracy of Final Answer,10,0,0.0,,,,,,,,,,,,,
donut,lora,Clarity & Presentation,10,6,0.6,0.037735849056603765,1.1102230246251565e-16,0.032258064516129115,1.5,1.6832508230603465,-1.5,0.19999999999999998,0.28284271247461906,0.16666666666666666,0.3333333333333333,0.375,0.4208127057650866,0.0
donut,lora,Concept of Histogram Equalization,4,3,0.75,-2.220446049250313e-16,-0.15384615384615397,-0.2857142857142858,0.8333333333333334,0.8660254037844386,0.16666666666666666,0.0,0.0,0.0,1.0,0.20833333333333334,0.21650635094610965,0.0
donut,lora,Necessity of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
donut,lora,Concept of Histogram Matching,4,3,0.75,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,0.0,,,0.3333333333333333,1.0,0.16666666666666666,0.2041241452319315,0.0
donut,lora,Necessity of Histogram Matching,4,4,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
donut,lora,Understanding of schema and instance (2),6,3,0.5,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
donut,lora,Explanation of different types of keys with examples (4),6,3,0.5,0.0,0.0,0.0,0.5,0.6454972243679028,-0.16666666666666666,,,0.3333333333333333,1.0,0.125,0.1613743060919757,0.0
donut,lora,Correct identification of keys in given relation (2),6,5,0.8333333333333334,-0.5,-0.25,-0.0714285714285714,0.8,1.0954451150103321,0.4,-0.6454972243679027,-0.6454972243679028,0.4,0.8,0.4,0.5477225575051661,0.0
donut,lora,Clear and organized writing (2),6,1,0.16666666666666666,,,,0.0,0.0,0.0,,,1.0,1.0,,,0.0
donut,lora,Definition of Method Overloading,5,2,0.4,0.0,0.0,0.0,1.5,1.5811388300841898,0.5,,,0.0,0.5,0.375,0.39528470752104744,0.0
donut,lora,Definition of Method Overriding,5,2,0.4,,,,2.0,2.0,2.0,,,0.0,0.0,0.5,0.5,0.0
donut,lora,Comparision,5,3,0.6,0.0,0.0,0.0,1.6666666666666667,1.7320508075688772,-1.6666666666666667,,,0.0,0.3333333333333333,0.4166666666666667,0.4330127018922193,0.0
donut,lora,Example / Application,13,7,0.5384615384615384,0.05673758865248235,0.02970297029702962,0.0,2.0,2.017778127403648,1.0,0.3,0.30000000000000004,0.0,0.0,0.5,0.504444531850912,0.0
donut,lora,Definition of Data Mining,8,6,0.75,-0.8169014084507042,-0.20000000000000018,0.0625,1.3333333333333333,1.8929694486000912,0.16666666666666666,-0.8410214463203253,-0.6356417261637283,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.4732423621500228,0.0
donut,lora,KDD Process Steps,8,5,0.625,0.23423423423423428,0.11764705882352944,0.0,1.2,1.3038404810405297,0.0,0.7222222222222221,0.7404360971988655,0.0,0.6,0.3,0.32596012026013244,0.0
donut,lora,Importance of Data Mining Marks=(4),8,6,0.75,0.04395604395604391,-0.12500000000000022,-0.19999999999999996,1.5,1.5545631755148024,0.5,0.06482037235521645,0.06154574548966636,0.0,0.3333333333333333,0.375,0.3886407938787006,0.0
donut,lora,Understanding of normalization and related problems(3),10,7,0.7,-0.30303030303030276,-0.1797752808988764,-0.02083333333333348,1.0714285714285714,1.2392393980641052,-0.6428571428571429,-0.47006339568147193,-0.521749194749951,0.0,0.7142857142857143,0.35714285714285715,0.41307979935470174,0.0
donut,lora,Explanation of normal forms(3),10,7,0.7,-0.18579234972677572,-0.21333333333333337,-0.07692307692307687,0.9285714285714286,1.0522085616183026,0.35714285714285715,-0.23395480008935166,-0.32025630761017426,0.14285714285714285,0.7142857142857143,0.3095238095238096,0.35073618720610084,0.0
donut,lora,Use of example(2),10,7,0.7,-0.16666666666666674,-0.16666666666666674,-0.16666666666666674,0.8571428571428571,1.1952286093343936,0.5714285714285714,-0.33113308926626095,-0.3415650255319866,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.5976143046671968,0.0
donut,lora,Clear and organized writing(2),10,3,0.3,0.0,0.0,0.0,0.6666666666666666,0.7071067811865476,0.6666666666666666,,,0.0,1.0,0.3333333333333333,0.3535533905932738,0.0
donut,lora,Definition of Quantization,3,2,0.6666666666666666,0.0,0.0,0.0,0.25,0.3535533905932738,-0.25,,,0.5,1.0,0.09999999999999998,0.14142135623730948,0.0
donut,lora,Purpose of Quantization,3,1,0.3333333333333333,,,,0.5,0.5,-0.5,,,0.0,1.0,,,0.0
donut,lora,Max-Lloyd Algorithm Explanation,3,1,0.3333333333333333,,,,0.0,0.0,0.0,,,1.0,1.0,,,0.0
donut,lora,Boundary & Centroid Conditions,3,2,0.6666666666666666,0.6666666666666667,0.5,0.33333333333333337,0.25,0.3535533905932738,0.25,1.0,0.9999999999999999,0.5,1.0,0.10000000000000003,0.14142135623730956,0.0
donut,lora,Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,1,0.5,,,,0.5,0.5,0.5,,,0.0,1.0,,,0.0
donut,lora,"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,1,0.5,,,,2.5,2.5,2.5,,,0.0,0.0,,,0.0
donut,lora,Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,0,0.0,,,,,,,,,,,,,
donut,lora,Enables comparison between models and overfitting issues,2,0,0.0,,,,,,,,,,,,,
donut,lora,Identification of Layers (2 Marks),9,3,0.3333333333333333,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
donut,lora,Explanation of Layers with diagram (4 Marks),9,5,0.5555555555555556,0.10256410256410253,0.18604651162790697,0.21052631578947367,0.7,1.02469507659596,-0.5,0.13363062095621214,0.027777777777777776,0.4,0.8,0.175,0.25617376914899,0.0
donut,lora,Technical Accuracy (2 Marks),9,3,0.3333333333333333,-0.5000000000000002,-0.5000000000000002,-0.5,1.3333333333333333,1.4142135623730951,0.6666666666666666,-0.8660254037844386,-0.8660254037844387,0.0,0.6666666666666666,0.6666666666666666,0.7071067811865476,0.0
donut,lora,Examples/Protocols(1 Mark),9,3,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,0.6666666666666666,,,0.3333333333333333,1.0,0.6666666666666666,0.816496580927726,0.0
donut,lora,Clarity & Organization (1 Mark),9,3,0.3333333333333333,,,,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,0.0
donut,zero_shot,Supervised Learning,9,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Unsupervised Learning,9,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Reinforcement Learning,9,0,0.0,,,,,,,,,,,,,
donut,zero_shot,"Example, Overall Clarity & Structure",9,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Defintion of climate and weather,6,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Name of the climate variables,6,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Hemato-biochemical changes in rohu due to an increase of temparature,6,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Understanding of Concept,10,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Step-by-Step Procedure,10,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Accuracy of Final Answer,10,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Clarity & Presentation,10,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Concept of Histogram Equalization,4,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Necessity of Histogram Equalization,4,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Concept of Histogram Matching,4,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Necessity of Histogram Matching,4,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Understanding of schema and instance (2),6,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Explanation of different types of keys with examples (4),6,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Correct identification of keys in given relation (2),6,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Clear and organized writing (2),6,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Definition of Method Overloading,5,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Definition of Method Overriding,5,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Comparision,5,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Example / Application,13,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Definition of Data Mining,8,0,0.0,,,,,,,,,,,,,
donut,zero_shot,KDD Process Steps,8,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Importance of Data Mining Marks=(4),8,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Understanding of normalization and related problems(3),10,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Explanation of normal forms(3),10,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Use of example(2),10,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Clear and organized writing(2),10,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Definition of Quantization,3,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Purpose of Quantization,3,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Max-Lloyd Algorithm Explanation,3,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Boundary & Centroid Conditions,3,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,0,0.0,,,,,,,,,,,,,
donut,zero_shot,"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Enables comparison between models and overfitting issues,2,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Identification of Layers (2 Marks),9,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Explanation of Layers with diagram (4 Marks),9,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Technical Accuracy (2 Marks),9,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Examples/Protocols(1 Mark),9,0,0.0,,,,,,,,,,,,,
donut,zero_shot,Clarity & Organization (1 Mark),9,0,0.0,,,,,,,,,,,,,
ensemble,few_shot,Concept of Histogram Equalization,4,4,1.0,0.47887323943661975,0.15384615384615385,-0.23076923076923084,0.6875,0.7603453162872774,0.4375,0.6673083711820306,0.632455532033676,0.0,1.0,0.171875,0.19008632907181935,0.0
ensemble,few_shot,Necessity of Histogram Equalization,4,4,1.0,0.06703910614525144,0.0,0.0,1.5625,1.6153559979150107,1.5625,0.5773502691896256,0.5773502691896257,0.0,0.0,0.390625,0.4038389994787527,0.0
ensemble,few_shot,Concept of Histogram Matching,4,4,1.0,0.4347826086956522,0.18518518518518523,0.0,0.6875,0.7806247497997998,0.3125,0.5222329678670934,0.316227766016838,0.0,0.75,0.171875,0.19515618744994995,0.0
ensemble,few_shot,Necessity of Histogram Matching,4,4,1.0,0.11976047904191611,0.0,-0.1428571428571428,1.4375,1.5155444566227676,1.4375,0.5773502691896257,0.5773502691896257,0.0,0.25,0.359375,0.3788861141556919,0.0
ensemble,few_shot,Defintion of climate and weather,6,6,1.0,0.0,0.0,0.0,1.0,1.0307764064044151,-1.0,,,0.0,0.8333333333333334,0.5,0.5153882032022076,0.0
ensemble,few_shot,Name of the climate variables,6,6,1.0,-0.03587443946188329,-0.016129032258064502,0.0,0.875,0.8955910525085282,-0.4583333333333333,-0.19999999999999998,-0.20000000000000007,0.0,0.8333333333333334,0.4375,0.4477955262542641,0.0
ensemble,few_shot,Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,-0.02739726027397249,1.1102230246251565e-16,0.032258064516129115,0.4583333333333333,0.5103103630798288,-0.4583333333333333,-0.2,-0.20000000000000007,0.16666666666666666,1.0,0.22916666666666666,0.2551551815399144,0.0
ensemble,few_shot,Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,2,1.0,0.0,0.0,0.0,1.375,1.3806701271484076,-1.375,,,0.0,0.0,0.4583333333333333,0.4602233757161358,0.0
ensemble,few_shot,"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,2,1.0,,,,0.5,0.5,0.5,,,0.0,1.0,0.16666666666666666,0.16666666666666666,0.0
ensemble,few_shot,Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,1.0,0.0,0.0,0.0
ensemble,few_shot,Enables comparison between models and overfitting issues,2,2,1.0,0.0,0.0,0.0,0.375,0.39528470752104744,-0.125,,,0.0,1.0,0.125,0.13176156917368248,0.0
ensemble,few_shot,Understanding of normalization and related problems(3),10,10,1.0,0.10212765957446812,0.0,-0.04166666666666674,1.55,1.6240381768911716,-1.55,0.6454972243679028,0.6145365967606566,0.0,0.2,0.5166666666666666,0.5413460589637238,0.0
ensemble,few_shot,Explanation of normal forms(3),10,10,1.0,0.06101048617731175,0.010600706713780883,0.0,1.4,1.5692354826475214,-1.4,0.4470390049816902,0.47338106833115084,0.0,0.3,0.4666666666666667,0.5230784942158405,0.0
ensemble,few_shot,Use of example(2),10,10,1.0,0.02006688963210701,0.004065040650406471,0.0,1.225,1.3532368602724358,-1.075,0.07894190171963547,-0.1369590298728748,0.0,0.4,0.6125,0.6766184301362179,0.0
ensemble,few_shot,Clear and organized writing(2),10,10,1.0,0.053676865271068186,0.05142857142857138,-0.04166666666666674,0.8299999952316284,0.9388823076415032,-0.7799999952316284,0.156786814264237,-0.04348853820356281,0.0,0.5,0.4149999976158142,0.4694411538207516,0.0
ensemble,few_shot,Understanding of schema and instance (2),6,6,1.0,0.13559322033898302,0.0,-0.12499999999999978,0.75,0.8416254115301732,-0.75,0.6324555320336759,0.632455532033676,0.0,0.8333333333333334,0.375,0.4208127057650866,0.0
