criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Understanding of normalization and related problems(3),10,10,1.0,0.13793103448275867,0.1095890410958904,0.125,0.65,0.7905694150420949,-0.55,0.5270462766947299,0.5270462766947299,0.3,1.0,0.2166666666666667,0.26352313834736496,0.0
Explanation of normal forms(3),10,10,1.0,0.7,0.4871794871794872,0.23076923076923084,0.4,0.5477225575051661,-0.3,0.8181680188713227,0.8421375869317116,0.4,1.0,0.13333333333333333,0.18257418583505539,0.0
Use of example(2),10,10,1.0,0.14814814814814814,0.16666666666666663,0.17647058823529416,0.55,0.758287544405155,0.05,0.2834101006325679,0.3962029078465307,0.3,0.8,0.275,0.3791437722025775,0.0
Clear and organized writing(2),10,10,1.0,0.0,0.0,0.0,0.27999999523162844,0.4289522084556475,0.2200000047683716,,,0.5,1.0,0.13999999761581422,0.21447610422782376,0.0
Definition of Quantization,3,3,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Purpose of Quantization,3,3,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,-0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Max-Lloyd Algorithm Explanation,3,3,1.0,0.0,0.0,0.0,0.5,0.5,-0.16666666666666666,,,0.0,1.0,0.19999999999999998,0.2,0.0
Boundary & Centroid Conditions,3,3,1.0,0.0,0.0,0.0,0.5,0.5,0.16666666666666666,,,0.0,1.0,0.20000000000000004,0.20000000000000004,0.0
Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,2,1.0,,,,1.0,1.0,-1.0,,,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0
"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,2,1.0,,,,1.0,1.0,1.0,,,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0
Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,2,1.0,0.0,0.0,0.0,0.75,0.7905694150420949,0.75,,,0.0,1.0,0.25,0.26352313834736496,0.0
Enables comparison between models and overfitting issues,2,2,1.0,,,,0.5,0.5,0.5,,,0.0,1.0,0.16666666666666666,0.16666666666666666,0.0
Identification of Layers (2 Marks),9,9,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Explanation of Layers with diagram (4 Marks),9,9,1.0,0.33333333333333326,0.18181818181818188,0.06250000000000011,0.6666666666666666,0.9428090415820634,0.6666666666666666,0.5773502691896258,0.6030226891555273,0.4444444444444444,0.8888888888888888,0.16666666666666666,0.23570226039551584,0.0
Technical Accuracy (2 Marks),9,9,1.0,0.08163265306122447,0.0,0.0,0.7777777777777778,0.9128709291752769,0.5555555555555556,0.21320071635561044,0.19518001458970663,0.1111111111111111,0.7777777777777778,0.3888888888888889,0.45643546458763845,0.0
Examples/Protocols(1 Mark),9,9,1.0,0.0,0.0,0.0,0.5,0.5,-0.16666666666666666,,,0.0,1.0,0.5,0.5,0.0
Clarity & Organization (1 Mark),9,9,1.0,0.16393442622950805,0.08695652173913027,0.0,0.4666666666666667,0.47609522856952335,0.2,0.5,0.5,0.0,1.0,0.4666666666666667,0.47609522856952335,0.0
