criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Definition of Data Mining,8,6,0.75,-0.8169014084507042,-0.20000000000000018,0.0625,1.3333333333333333,1.8929694486000912,0.16666666666666666,-0.8410214463203253,-0.6356417261637283,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.4732423621500228,0.0
KDD Process Steps,8,5,0.625,0.23423423423423428,0.11764705882352944,0.0,1.2,1.3038404810405297,0.0,0.7222222222222221,0.7404360971988655,0.0,0.6,0.3,0.32596012026013244,0.0
Importance of Data Mining Marks=(4),8,6,0.75,0.04395604395604391,-0.12500000000000022,-0.19999999999999996,1.5,1.5545631755148024,0.5,0.06482037235521645,0.06154574548966636,0.0,0.3333333333333333,0.375,0.3886407938787006,0.0
Understanding of normalization and related problems(3),10,7,0.7,-0.30303030303030276,-0.1797752808988764,-0.02083333333333348,1.0714285714285714,1.2392393980641052,-0.6428571428571429,-0.47006339568147193,-0.521749194749951,0.0,0.7142857142857143,0.35714285714285715,0.41307979935470174,0.0
Explanation of normal forms(3),10,7,0.7,-0.18579234972677572,-0.21333333333333337,-0.07692307692307687,0.9285714285714286,1.0522085616183026,0.35714285714285715,-0.23395480008935166,-0.32025630761017426,0.14285714285714285,0.7142857142857143,0.3095238095238096,0.35073618720610084,0.0
Use of example(2),10,7,0.7,-0.16666666666666674,-0.16666666666666674,-0.16666666666666674,0.8571428571428571,1.1952286093343936,0.5714285714285714,-0.33113308926626095,-0.3415650255319866,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.5976143046671968,0.0
Clear and organized writing(2),10,3,0.3,0.0,0.0,0.0,0.6666666666666666,0.7071067811865476,0.6666666666666666,,,0.0,1.0,0.3333333333333333,0.3535533905932738,0.0
Definition of Quantization,3,2,0.6666666666666666,0.0,0.0,0.0,0.25,0.3535533905932738,-0.25,,,0.5,1.0,0.09999999999999998,0.14142135623730948,0.0
Purpose of Quantization,3,1,0.3333333333333333,,,,0.5,0.5,-0.5,,,0.0,1.0,,,0.0
Max-Lloyd Algorithm Explanation,3,1,0.3333333333333333,,,,0.0,0.0,0.0,,,1.0,1.0,,,0.0
Boundary & Centroid Conditions,3,2,0.6666666666666666,0.6666666666666667,0.5,0.33333333333333337,0.25,0.3535533905932738,0.25,1.0,0.9999999999999999,0.5,1.0,0.10000000000000003,0.14142135623730956,0.0
Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,1,0.5,,,,0.5,0.5,0.5,,,0.0,1.0,,,0.0
"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,1,0.5,,,,2.5,2.5,2.5,,,0.0,0.0,,,0.0
Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,0,0.0,,,,,,,,,,,,,
Enables comparison between models and overfitting issues,2,0,0.0,,,,,,,,,,,,,
Identification of Layers (2 Marks),9,3,0.3333333333333333,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Explanation of Layers with diagram (4 Marks),9,5,0.5555555555555556,0.10256410256410253,0.18604651162790697,0.21052631578947367,0.7,1.02469507659596,-0.5,0.13363062095621214,0.027777777777777776,0.4,0.8,0.175,0.25617376914899,0.0
Technical Accuracy (2 Marks),9,3,0.3333333333333333,-0.5000000000000002,-0.5000000000000002,-0.5,1.3333333333333333,1.4142135623730951,0.6666666666666666,-0.8660254037844386,-0.8660254037844387,0.0,0.6666666666666666,0.6666666666666666,0.7071067811865476,0.0
Examples/Protocols(1 Mark),9,3,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,0.6666666666666666,,,0.3333333333333333,1.0,0.6666666666666666,0.816496580927726,0.0
Clarity & Organization (1 Mark),9,3,0.3333333333333333,,,,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,0.0
